seconds,latitude,longitude,flightId,arrival_progress,parking_progress,pushback_progress,test,departure_progress,disembarkation_progress,boarding_progress,baggage_unloading_progress,baggage_loading_progress,cleaning_progress,refueling_progress,catering_load_progress,cabin_ready_check_progress,load_sheet_progress,door_close_progress,pushback_start_progress
0,43.659286,-79.620444,flight1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
1,43.659286,-79.620444,flight1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2,43.65931215089406,-79.6204069,flight1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
3,43.659338301776124,-79.62036981,flight1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
4,43.659364452646194,-79.62033271,flight1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
5,43.65939060350427,-79.62029561,flight1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
6,43.659416754350346,-79.62025852,flight1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
7,43.65944290518444,-79.62022142,flight1,99,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
8,43.659469056006515,-79.62018432,flight1,99,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
9,43.65949520681661,-79.62014723,flight1,99,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
10,43.65952136,-79.62011013,flight1,99,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
11,43.659547508400806,-79.62007303,flight1,99,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
12,43.659573659174896,-79.62003594,flight1,99,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
13,43.659599809937006,-79.61999884,flight1,99,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
14,43.659625960687116,-79.61996174,flight1,99,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
15,43.659652111425224,-79.61992465,flight1,99,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
16,43.65967826215134,-79.61988755,flight1,99,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
17,43.65970441286546,-79.61985045,flight1,99,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
18,43.659730563567585,-79.61981336,flight1,99,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
19,43.65975671425772,-79.61977626,flight1,99,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
20,43.65978286493585,-79.61973916,flight1,99,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
21,43.65980901560198,-79.61970207,flight1,99,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
22,43.65983516625612,-79.61966497,flight1,99,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
23,43.659861316898265,-79.61962787,flight1,99,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
24,43.65988746752841,-79.61959077,flight1,99,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
25,43.659913618146554,-79.61955368,flight1,99,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
26,43.65993977,-79.61951658,flight1,99,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
27,43.65996591934687,-79.61947948,flight1,99,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
28,43.65999206992902,-79.61944239,flight1,99,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
29,43.66001822049918,-79.61940529,flight1,99,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
30,43.66004437105736,-79.61936819,flight1,99,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
31,43.66007052160352,-79.61933109,flight1,99,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
32,43.66009667,-79.619294,flight1,99,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
33,43.66012282265988,-79.6192569,flight1,99,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
34,43.66014897317005,-79.6192198,flight1,99,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
